FeedbackID,ProductID,CustomerID,FeedbackScore,FeedbackDate
1,1,1,5,05/05/23
2,2,2,4,06/04/23
3,3,3,4,07/04/23
,4,4,four-comma-seven,eleven March 2023
5,5,5,4,09/04/23
6,6,6,4,10/04/23
7,7,7,4,11/04/23
8,8,8,3,12/04/23
,9,9,3.9,13/04/2023
10,10,10,5,14/04/2023
11,11,11,4,16/04/2023
12,12,12,4,16/04/2023
13,13,13,4,17/04/2023
14,14,14,4,18/04/2023
15,15,15,4,19/04/2023
16,16,16,4,20/04/2023
17,17,17,4,21/04/2023
18,18,18,4,22/04/2023
19,19,19,5,23/04/2023
20,20,20,4,24/04/2023
21,21,21,4,25/04/2023
22,22,22,4,26/04/2023
23,23,23,4,27/04/2023
24,24,24,4,28/04/2023
25,25,25,4,29/04/2023
26,26,26,4,30/04/2023
27,27,27,4,01/05/23
28,28,28,4,02/05/23
29,29,29,4,03/05/23
30,30,30,4,04/05/23
31,31,31,4,05/05/23
32,32,32,4,06/05/23
33,33,33,4,07/05/23
34,34,34,4,08/05/23
35,35,35,4,09/05/23
36,36,36,4,10/05/23
37,37,37,4,11/05/23
38,38,38,4,12/05/23
39,39,39,4,13/05/2023
40,40,40,4,14/05/2023
41,41,41,4,15/05/2023
42,42,42,4,16/05/2023
43,43,43,4,17/05/2023
44,44,44,4,18/05/2023
45,45,45,4,19/05/2023
46,46,46,4,20/05/2023
47,47,47,4,21/05/2023
48,48,48,4,22/05/2023
49,49,49,4,23/05/2023
50,50,50,4,24/05/2023
51,51,51,4,25/05/2023
52,52,52,4,26/05/2023
